"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06075031301","#N/A","San Francisco","06075","Bay Area Region","0.569","0.493","0.544","0.141","Moderate Resource"
"06075031302","#N/A","San Francisco","06075","Bay Area Region","0.56","0.406","0.416","-0.001","Moderate Resource"
"06075031400","#N/A","San Francisco","06075","Bay Area Region","0.375","0.397","0.337","-0.212","Moderate Resource"
"06075032601","#N/A","San Francisco","06075","Bay Area Region","0.741","0.563","0.698","0.396","High Resource"
"06075032602","#N/A","San Francisco","06075","Bay Area Region","0.693","0.408","0.698","0.336","High Resource"
"06075032700","#N/A","San Francisco","06075","Bay Area Region","0.844","0.697","0.725","0.522","Highest Resource"
"06075032801","#N/A","San Francisco","06075","Bay Area Region","0.702","0.407","0.775","0.399","High Resource"
"06075032802","#N/A","San Francisco","06075","Bay Area Region","0.795","0.444","0.778","0.467","High Resource"
"06075032901","#N/A","San Francisco","06075","Bay Area Region","0.74","0.644","0.823","0.519","Highest Resource"
"06075032902","#N/A","San Francisco","06075","Bay Area Region","0.712","0.768","0.799","0.5","High Resource"
"06075033000","#N/A","San Francisco","06075","Bay Area Region","0.836","0.492","0.604","0.37","High Resource"
"06075033100","#N/A","San Francisco","06075","Bay Area Region","0.866","0.661","0.627","0.453","High Resource"
"06075033201","#N/A","San Francisco","06075","Bay Area Region","0.124","0.537","0.532","-0.197","Moderate Resource"
"06075033203","#N/A","San Francisco","06075","Bay Area Region","0.484","0.474","0.418","-0.025","Moderate Resource"
"06075033204","#N/A","San Francisco","06075","Bay Area Region","0.211","0.422","0.434","-0.236","Moderate Resource"
"06075035100","#N/A","San Francisco","06075","Bay Area Region","0.78","0.782","0.785","0.529","Highest Resource"
"06075035201","#N/A","San Francisco","06075","Bay Area Region","0.536","0.784","0.84","0.439","High Resource"
"06075035202","#N/A","San Francisco","06075","Bay Area Region","0.76","0.678","0.785","0.497","High Resource"
"06075035300","#N/A","San Francisco","06075","Bay Area Region","0.631","0.681","0.825","0.464","High Resource"
"06075035400","#N/A","San Francisco","06075","Bay Area Region","0.744","0.766","0.808","0.529","Highest Resource"
"06075040100","#N/A","San Francisco","06075","Bay Area Region","0.923","0.632","0.66","0.538","Highest Resource"
"06075040200","#N/A","San Francisco","06075","Bay Area Region","0.926","0.452","0.629","0.473","High Resource"
"06075042601","#N/A","San Francisco","06075","Bay Area Region","0.919","0.517","0.625","0.478","High Resource"
"06075042602","#N/A","San Francisco","06075","Bay Area Region","0.977","0.42","0.625","0.559","Highest Resource"
"06075042700","#N/A","San Francisco","06075","Bay Area Region","0.658","0.597","0.695","0.352","High Resource"
"06075042800","#N/A","San Francisco","06075","Bay Area Region","0.942","0.424","0.653","0.507","Highest Resource"
"06075045100","#N/A","San Francisco","06075","Bay Area Region","0.912","0.764","0.667","0.56","Highest Resource"
"06075045200","#N/A","San Francisco","06075","Bay Area Region","0.929","0.337","0.629","0.447","High Resource"
"06075047600","#N/A","San Francisco","06075","Bay Area Region","0.871","0.316","0.625","0.374","High Resource"
"06075047701","#N/A","San Francisco","06075","Bay Area Region","0.735","0.535","0.695","0.386","High Resource"
"06075047702","#N/A","San Francisco","06075","Bay Area Region","0.79","0.465","0.722","0.427","High Resource"
"06075047801","#N/A","San Francisco","06075","Bay Area Region","0.852","0.58","0.722","0.5","High Resource"
"06075047802","#N/A","San Francisco","06075","Bay Area Region","0.798","0.573","0.722","0.455","High Resource"
"06075047901","#N/A","San Francisco","06075","Bay Area Region","0.699","0.689","0.772","0.457","High Resource"
"06075047902","#N/A","San Francisco","06075","Bay Area Region","0.885","0.536","0.772","0.558","Highest Resource"
"06075060100","#N/A","San Francisco","06075","Bay Area Region","0.987","0.068","0.683","0.494","High Resource"
"06075060400","#N/A","San Francisco","06075","Bay Area Region","0.721","0.648","0.431","0.157","Moderate Resource"
"06075060502","#N/A","San Francisco","06075","Bay Area Region","0.051","0.796","0.247","#N/A","High Segregation & Poverty"
"06075060700","#N/A","San Francisco","06075","Bay Area Region","0.897","0.007","0.021","-0.712","Low Resource"
"06075061000","#N/A","San Francisco","06075","Bay Area Region","0.55","0.012","0.04","-0.817","Low Resource"
"06075061100","#N/A","San Francisco","06075","Bay Area Region","0.1","0.275","0.289","#N/A","High Segregation & Poverty"
"06075061200","#N/A","San Francisco","06075","Bay Area Region","0.305","0.138","0.016","-0.79","Low Resource"
"06075061400","#N/A","San Francisco","06075","Bay Area Region","0.684","0.044","0.044","-0.556","Low Resource"
"06075061500","#N/A","San Francisco","06075","Bay Area Region","0.963","0.036","0.182","-0.18","Moderate Resource"
"06075980200","#N/A","San Francisco","06075","Bay Area Region","0.877","0.654","0.772","0.574","Highest Resource"
"06075980300","#N/A","San Francisco","06075","Bay Area Region","0.999","0.56","0.67","0.8","Highest Resource"
"06075980401","#N/A","San Francisco","06075","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06075980501","#N/A","San Francisco","06075","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06075980600","#N/A","San Francisco","06075","Bay Area Region","0.524","0.013","0.027","-0.866","Low Resource"
"06075980900","#N/A","San Francisco","06075","Bay Area Region","0.984","0.051","0.034","-0.244","Moderate Resource"
"06075990100","#N/A","San Francisco","06075","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06077000100","#N/A","San Joaquin","06077","Central Valley Region","0.03","0.085","0.75","#N/A","High Segregation & Poverty"
"06077000300","#N/A","San Joaquin","06077","Central Valley Region","0.161","0.019","0.786","#N/A","High Segregation & Poverty"
"06077000401","#N/A","San Joaquin","06077","Central Valley Region","0.595","0.614","0.513","0.036","Moderate Resource"
"06077000402","#N/A","San Joaquin","06077","Central Valley Region","0.201","0.557","0.485","#N/A","High Segregation & Poverty"
"06077000500","#N/A","San Joaquin","06077","Central Valley Region","0.098","0.871","0.439","#N/A","High Segregation & Poverty"
"06077000600","#N/A","San Joaquin","06077","Central Valley Region","0.087","0.667","0.106","-0.567","Low Resource"
"06077000700","#N/A","San Joaquin","06077","Central Valley Region","0.019","0.027","0.011","#N/A","High Segregation & Poverty"
"06077000801","#N/A","San Joaquin","06077","Central Valley Region","0.362","0.034","0.114","-0.669","Low Resource"
"06077000900","#N/A","San Joaquin","06077","Central Valley Region","0.396","0.083","0.064","-0.591","Low Resource"
"06077001000","#N/A","San Joaquin","06077","Central Valley Region","0.417","0.316","0.386","-0.226","Moderate Resource"
"06077001101","#N/A","San Joaquin","06077","Central Valley Region","0.35","0.761","0.03","-0.464","Low Resource"
"06077001102","#N/A","San Joaquin","06077","Central Valley Region","0.566","0.676","0.064","-0.282","Low Resource"
"06077001200","#N/A","San Joaquin","06077","Central Valley Region","0.926","0.9","0.117","0.189","High Resource"
"06077001300","#N/A","San Joaquin","06077","Central Valley Region","0.574","0.729","0.591","0.101","High Resource"
"06077001400","#N/A","San Joaquin","06077","Central Valley Region","0.515","0.735","0.314","-0.101","Moderate Resource"
"06077001500","#N/A","San Joaquin","06077","Central Valley Region","0.328","0.578","0.551","-0.114","Moderate Resource"
"06077001600","#N/A","San Joaquin","06077","Central Valley Region","0.097","0.778","0.22","-0.432","Low Resource"
"06077001700","#N/A","San Joaquin","06077","Central Valley Region","0.061","0.759","0.119","#N/A","High Segregation & Poverty"
"06077001800","#N/A","San Joaquin","06077","Central Valley Region","0.28","0.186","0.078","-0.584","Low Resource"
"06077001900","#N/A","San Joaquin","06077","Central Valley Region","0.127","0.394","0.259","#N/A","High Segregation & Poverty"
"06077002000","#N/A","San Joaquin","06077","Central Valley Region","0.157","0.193","0.049","#N/A","High Segregation & Poverty"
"06077002100","#N/A","San Joaquin","06077","Central Valley Region","0.288","0.684","0.015","-0.554","Low Resource"
"06077002201","#N/A","San Joaquin","06077","Central Valley Region","0.023","0.581","0.002","#N/A","High Segregation & Poverty"
"06077002202","#N/A","San Joaquin","06077","Central Valley Region","0.235","0.953","0","#N/A","High Segregation & Poverty"
"06077002300","#N/A","San Joaquin","06077","Central Valley Region","0.193","0.384","0.004","-0.726","Low Resource"
"06077002401","#N/A","San Joaquin","06077","Central Valley Region","0.172","0.258","0.009","#N/A","High Segregation & Poverty"
"06077002402","#N/A","San Joaquin","06077","Central Valley Region","0.21","0.25","0.008","-0.739","Low Resource"
"06077002503","#N/A","San Joaquin","06077","Central Valley Region","0.072","0.508","0.057","#N/A","High Segregation & Poverty"
"06077002504","#N/A","San Joaquin","06077","Central Valley Region","0.498","0.962","0.074","-0.206","Moderate Resource"
"06077002701","#N/A","San Joaquin","06077","Central Valley Region","0.195","0.352","0.04","-0.651","Low Resource"
"06077002702","#N/A","San Joaquin","06077","Central Valley Region","0.39","0.951","0.042","-0.347","Low Resource"
"06077002800","#N/A","San Joaquin","06077","Central Valley Region","0.426","0.449","0.006","-0.566","Low Resource"
"06077003106","#N/A","San Joaquin","06077","Central Valley Region","0.831","0.67","0.559","0.283","High Resource"
"06077003108","#N/A","San Joaquin","06077","Central Valley Region","0.835","0.597","0.777","0.446","Highest Resource"
"06077003109","#N/A","San Joaquin","06077","Central Valley Region","0.761","0.443","0.754","0.321","High Resource"
"06077003110","#N/A","San Joaquin","06077","Central Valley Region","0.693","0.485","0.706","0.241","High Resource"
"06077003111","#N/A","San Joaquin","06077","Central Valley Region","0.544","0.725","0.604","0.093","High Resource"
"06077003112","#N/A","San Joaquin","06077","Central Valley Region","0.843","0.61","0.36","0.165","High Resource"
"06077003113","#N/A","San Joaquin","06077","Central Valley Region","0.381","0.487","0.29","-0.265","Low Resource"
"06077003114","#N/A","San Joaquin","06077","Central Valley Region","0.977","0.64","0.71","0.676","Highest Resource"
"06077003203","#N/A","San Joaquin","06077","Central Valley Region","0.847","0.602","0.674","0.371","High Resource"
"06077003205","#N/A","San Joaquin","06077","Central Valley Region","0.547","0.65","0.394","-0.06","Moderate Resource"
"06077003208","#N/A","San Joaquin","06077","Central Valley Region","0.799","0.894","0.742","0.46","Highest Resource"
"06077003209","#N/A","San Joaquin","06077","Central Valley Region","0.771","0.964","0.254","0.162","High Resource"
"06077003210","#N/A","San Joaquin","06077","Central Valley Region","0.629","0.886","0.316","0.036","Moderate Resource"
"06077003213","#N/A","San Joaquin","06077","Central Valley Region","0.502","0.746","0.511","0.002","Moderate Resource"
"06077003214","#N/A","San Joaquin","06077","Central Valley Region","0.78","0.697","0.502","0.194","High Resource"
"06077003215","#N/A","San Joaquin","06077","Central Valley Region","0.814","0.265","0.606","0.187","High Resource"
"06077003216","#N/A","San Joaquin","06077","Central Valley Region","0.491","0.689","0.384","-0.086","Moderate Resource"
"06077003217","#N/A","San Joaquin","06077","Central Valley Region","0.352","0.377","0.606","-0.105","Moderate Resource"
"06077003305","#N/A","San Joaquin","06077","Central Valley Region","0.379","0.839","0.417","-0.098","Moderate Resource"
"06077003306","#N/A","San Joaquin","06077","Central Valley Region","0.407","0.78","0.112","-0.313","Low Resource"
"06077003307","#N/A","San Joaquin","06077","Central Valley Region","0.456","0.674","0.57","-0.001","Moderate Resource"
"06077003308","#N/A","San Joaquin","06077","Central Valley Region","0.464","0.896","0.294","-0.088","Moderate Resource"
"06077003310","#N/A","San Joaquin","06077","Central Valley Region","0.415","0.909","0.206","-0.16","Moderate Resource"
"06077003311","#N/A","San Joaquin","06077","Central Valley Region","0.212","0.956","0.17","-0.274","Low Resource"
"06077003312","#N/A","San Joaquin","06077","Central Valley Region","0.17","0.932","0.795","#N/A","High Segregation & Poverty"
"06077003313","#N/A","San Joaquin","06077","Central Valley Region","0.214","0.93","0.585","#N/A","High Segregation & Poverty"
"06077003403","#N/A","San Joaquin","06077","Central Valley Region","0.428","0.958","0.428","0.007","Moderate Resource"
"06077003404","#N/A","San Joaquin","06077","Central Valley Region","0.223","0.955","0.396","-0.14","Moderate Resource"
"06077003405","#N/A","San Joaquin","06077","Central Valley Region","0.22","0.884","0.343","-0.205","Moderate Resource"
"06077003406","#N/A","San Joaquin","06077","Central Valley Region","0.178","0.92","0.333","#N/A","High Segregation & Poverty"
"06077003407","#N/A","San Joaquin","06077","Central Valley Region","0.403","0.837","0.392","-0.095","Moderate Resource"
"06077003409","#N/A","San Joaquin","06077","Central Valley Region","0.335","0.913","0.544","-0.001","Moderate Resource"
"06077003410","#N/A","San Joaquin","06077","Central Valley Region","0.36","0.917","0.367","-0.084","Moderate Resource"
"06077003500","#N/A","San Joaquin","06077","Central Valley Region","0.786","0.523","0.727","0.342","High Resource"
"06077003601","#N/A","San Joaquin","06077","Central Valley Region","0.723","0.256","0.383","-0.03","Moderate Resource"
"06077003700","#N/A","San Joaquin","06077","Central Valley Region","0.331","0.407","0.036","-0.552","Low Resource"
"06077003801","#N/A","San Joaquin","06077","Central Valley Region","0.644","0.928","0.303","0.054","High Resource"
"06077003802","#N/A","San Joaquin","06077","Central Valley Region","0.589","0.337","0.136","-0.257","Low Resource"
"06077003803","#N/A","San Joaquin","06077","Central Valley Region","0.424","0.038","0.15","-0.561","Low Resource"
"06077004002","#N/A","San Joaquin","06077","Central Valley Region","0.928","0.606","0.723","0.535","Highest Resource"
"06077004102","#N/A","San Joaquin","06077","Central Valley Region","0.811","0.532","0.727","0.368","High Resource"
"06077004104","#N/A","San Joaquin","06077","Central Valley Region","0.951","0.989","0.767","0.8","Highest Resource"
"06077004105","#N/A","San Joaquin","06077","Central Valley Region","0.873","0.968","0.782","0.644","Highest Resource"
"06077004201","#N/A","San Joaquin","06077","Central Valley Region","0.631","0.97","0.805","0.444","Highest Resource"
"06077004202","#N/A","San Joaquin","06077","Central Valley Region","0.892","0.966","0.562","0.489","Highest Resource"
"06077004203","#N/A","San Joaquin","06077","Central Valley Region","0.472","0.835","0.562","0.053","High Resource"
"06077004204","#N/A","San Joaquin","06077","Central Valley Region","0.763","0.801","0.619","0.295","High Resource"
"06077004302","#N/A","San Joaquin","06077","Central Valley Region","0.504","0.773","0.523","0.01","Moderate Resource"
"06077004303","#N/A","San Joaquin","06077","Central Valley Region","0.824","0.983","0.778","0.605","Highest Resource"
"06077004305","#N/A","San Joaquin","06077","Central Valley Region","0.852","0.991","0.648","0.551","Highest Resource"
"06077004307","#N/A","San Joaquin","06077","Central Valley Region","0.597","0.985","0.42","0.161","High Resource"
"06077004308","#N/A","San Joaquin","06077","Central Valley Region","0.324","0.975","0.534","0.024","Moderate Resource"
"06077004402","#N/A","San Joaquin","06077","Central Valley Region","0.528","0.922","0.568","0.124","High Resource"
"06077004403","#N/A","San Joaquin","06077","Central Valley Region","0.252","0.771","0.375","-0.214","Moderate Resource"
"06077004404","#N/A","San Joaquin","06077","Central Valley Region","0.093","0.714","0.362","#N/A","High Segregation & Poverty"
"06077004501","#N/A","San Joaquin","06077","Central Valley Region","0.229","0.403","0.441","-0.28","Low Resource"
"06077004502","#N/A","San Joaquin","06077","Central Valley Region","0.199","0.462","0.362","#N/A","High Segregation & Poverty"
"06077005106","#N/A","San Joaquin","06077","Central Valley Region","0.784","0.176","0.945","0.597","Highest Resource"
"06077005108","#N/A","San Joaquin","06077","Central Valley Region","0.46","0.82","0.434","-0.043","Moderate Resource"
"06077005109","#N/A","San Joaquin","06077","Central Valley Region","0.322","0.585","0.466","-0.164","Moderate Resource"
"06077005110","#N/A","San Joaquin","06077","Central Valley Region","0.339","0.326","0.466","-0.218","Moderate Resource"
"06077005113","#N/A","San Joaquin","06077","Central Valley Region","0.68","0.419","0.555","0.083","High Resource"
"06077005114","#N/A","San Joaquin","06077","Central Valley Region","0.795","0.146","0.835","0.326","High Resource"
"06077005122","#N/A","San Joaquin","06077","Central Valley Region","0.797","0.294","0.915","0.523","Highest Resource"
"06077005123","#N/A","San Joaquin","06077","Central Valley Region","0.767","0.824","0.896","0.594","Highest Resource"
"06077005124","#N/A","San Joaquin","06077","Central Valley Region","0.545","0.869","0.688","0.212","High Resource"
"06077005125","#N/A","San Joaquin","06077","Central Valley Region","0.513","0.941","0.818","0.332","High Resource"
"06077005126","#N/A","San Joaquin","06077","Central Valley Region","0.405","0.752","0.818","0.197","High Resource"
"06077005131","#N/A","San Joaquin","06077","Central Valley Region","0.259","0.072","0.748","-0.185","Moderate Resource"
"06077005132","#N/A","San Joaquin","06077","Central Valley Region","0.153","0.737","0.835","0.053","High Resource"
"06077005133","#N/A","San Joaquin","06077","Central Valley Region","0.441","0.28","0.835","0.116","High Resource"
"06077005134","#N/A","San Joaquin","06077","Central Valley Region","0.523","0.936","0.896","0.458","Highest Resource"
"06077005135","#N/A","San Joaquin","06077","Central Valley Region","0.841","0.528","0.9","0.599","Highest Resource"
"06077005202","#N/A","San Joaquin","06077","Central Valley Region","0.886","0.03","0.735","0.176","High Resource"
"06077005207","#N/A","San Joaquin","06077","Central Valley Region","0.922","0.934","0.667","0.581","Highest Resource"
"06077005208","#N/A","San Joaquin","06077","Central Valley Region","0.856","1","0.54","0.528","Highest Resource"
"06077005209","#N/A","San Joaquin","06077","Central Valley Region","0.858","0.996","0.873","0.788","Highest Resource"
"06077005210","#N/A","San Joaquin","06077","Central Valley Region","0.911","0.998","0.866","0.905","Highest Resource"
"06077005302","#N/A","San Joaquin","06077","Central Valley Region","0.612","0.574","0.225","-0.125","Moderate Resource"
"06077005303","#N/A","San Joaquin","06077","Central Valley Region","0.485","0.911","0.504","0.048","High Resource"
"06077005305","#N/A","San Joaquin","06077","Central Valley Region","0.67","0.799","0.091","-0.158","Moderate Resource"
"06077005307","#N/A","San Joaquin","06077","Central Valley Region","0.712","0.979","0.169","0.086","High Resource"
"06077005308","#N/A","San Joaquin","06077","Central Valley Region","0.667","0.972","0.324","0.123","High Resource"
"06077005403","#N/A","San Joaquin","06077","Central Valley Region","0.752","0.987","0.261","0.185","High Resource"
"06077005405","#N/A","San Joaquin","06077","Central Valley Region","0.642","0.96","0.214","0.014","Moderate Resource"
"06077005406","#N/A","San Joaquin","06077","Central Valley Region","0.489","0.949","0.214","-0.103","Moderate Resource"
"06077005502","#N/A","San Joaquin","06077","Central Valley Region","0.932","0.025","0.722","0.201","High Resource"
"06079010901","#N/A","San Luis Obispo","06079","Central Coast Region","0.006","0.538","0.913","-0.224","Moderate Resource"
"06079010902","#N/A","San Luis Obispo","06079","Central Coast Region","0.037","0.476","0.93","-0.021","Moderate Resource"
"06079011001","#N/A","San Luis Obispo","06079","Central Coast Region","0.493","0.738","0.958","0.508","Highest Resource"
"06079011002","#N/A","San Luis Obispo","06079","Central Coast Region","0.442","0.414","0.958","0.36","High Resource"
"06079011101","#N/A","San Luis Obispo","06079","Central Coast Region","0.358","0.059","0.958","0.139","Moderate Resource"
"06079011102","#N/A","San Luis Obispo","06079","Central Coast Region","0.485","0.18","0.814","0.187","High Resource"
"06079011103","#N/A","San Luis Obispo","06079","Central Coast Region","0.569","0.132","0.814","0.218","High Resource"
"06079011200","#N/A","San Luis Obispo","06079","Central Coast Region","0.197","0.13","0.93","0.051","Moderate Resource"
"06079011300","#N/A","San Luis Obispo","06079","Central Coast Region","0.51","0.589","0.783","0.34","High Resource"
"06079011501","#N/A","San Luis Obispo","06079","Central Coast Region","0.093","0.186","0.794","-0.121","Moderate Resource"
"06079011503","#N/A","San Luis Obispo","06079","Central Coast Region","0.758","0.163","0.977","0.501","Highest Resource"
"06079011701","#N/A","San Luis Obispo","06079","Central Coast Region","0.515","0.676","0.659","0.288","High Resource"
"06079011704","#N/A","San Luis Obispo","06079","Central Coast Region","0.549","0.53","0.755","0.322","High Resource"
"06079011800","#N/A","San Luis Obispo","06079","Central Coast Region","0.535","0.685","0.862","0.421","High Resource"
"06079011901","#N/A","San Luis Obispo","06079","Central Coast Region","0.431","0.541","0.856","0.285","High Resource"
"06079011902","#N/A","San Luis Obispo","06079","Central Coast Region","0.392","0.555","0.856","0.262","High Resource"
"06079012000","#N/A","San Luis Obispo","06079","Central Coast Region","0.352","0.631","0.493","-0.012","Moderate Resource"
"06079012102","#N/A","San Luis Obispo","06079","Central Coast Region","0.301","0.546","0.493","-0.064","Moderate Resource"
"06079012200","#N/A","San Luis Obispo","06079","Central Coast Region","0.265","0.651","0.634","0.037","Moderate Resource"
"06079990000","#N/A","San Luis Obispo","06079","Central Coast Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06081600100","#N/A","San Mateo","06081","Bay Area Region","0.792","0.11","0.356","-0.054","Moderate Resource"
"06081600200","#N/A","San Mateo","06081","Bay Area Region","0.422","0.19","0.247","-0.345","Low Resource"
"06081600300","#N/A","San Mateo","06081","Bay Area Region","0.607","0.866","0.282","-0.022","Moderate Resource"
"06081600401","#N/A","San Mateo","06081","Bay Area Region","0.66","0.847","0.333","0.071","Moderate Resource"
"06081600402","#N/A","San Mateo","06081","Bay Area Region","0.512","0.522","0.317","-0.105","Moderate Resource"
"06081600500","#N/A","San Mateo","06081","Bay Area Region","0.661","0.624","0.385","0.071","Moderate Resource"
"06081600600","#N/A","San Mateo","06081","Bay Area Region","0.432","0.37","0.351","-0.161","Moderate Resource"
"06081600700","#N/A","San Mateo","06081","Bay Area Region","0.526","0.258","0.371","-0.119","Moderate Resource"
"06081600800","#N/A","San Mateo","06081","Bay Area Region","0.405","0.559","0.559","0.062","Moderate Resource"
"06081600900","#N/A","San Mateo","06081","Bay Area Region","0.649","0.45","0.559","0.191","Moderate Resource"
"06081601000","#N/A","San Mateo","06081","Bay Area Region","0.5","0.426","0.651","0.194","Moderate Resource"
"06081601100","#N/A","San Mateo","06081","Bay Area Region","0.762","0.6","0.568","0.297","High Resource"
"06081601200","#N/A","San Mateo","06081","Bay Area Region","0.566","0.456","0.568","0.148","Moderate Resource"
"06081601300","#N/A","San Mateo","06081","Bay Area Region","0.576","0.487","0.422","0.029","Moderate Resource"
"06081601400","#N/A","San Mateo","06081","Bay Area Region","0.546","0.414","0.536","0.103","Moderate Resource"
"06081601501","#N/A","San Mateo","06081","Bay Area Region","0.599","0.652","0.47","0.126","Moderate Resource"
"06081601502","#N/A","San Mateo","06081","Bay Area Region","0.538","0.669","0.47","0.093","Moderate Resource"
"06081601601","#N/A","San Mateo","06081","Bay Area Region","0.505","0.244","0.433","-0.068","Moderate Resource"
"06081601603","#N/A","San Mateo","06081","Bay Area Region","0.49","0.358","0.637","0.159","Moderate Resource"
"06081601604","#N/A","San Mateo","06081","Bay Area Region","0.582","0.407","0.562","0.14","Moderate Resource"
"06081601605","#N/A","San Mateo","06081","Bay Area Region","0.522","0.925","0.544","0.218","High Resource"
"06081601700","#N/A","San Mateo","06081","Bay Area Region","0.681","0.457","0.613","0.272","High Resource"
"06081601800","#N/A","San Mateo","06081","Bay Area Region","0.577","0.401","0.596","0.175","Moderate Resource"
"06081601901","#N/A","San Mateo","06081","Bay Area Region","0.653","0.757","0.521","0.229","High Resource"
"06081601902","#N/A","San Mateo","06081","Bay Area Region","0.629","0.512","0.521","0.158","Moderate Resource"
"06081602000","#N/A","San Mateo","06081","Bay Area Region","0.656","0.268","0.3","-0.108","Moderate Resource"
"06081602100","#N/A","San Mateo","06081","Bay Area Region","0.257","0.096","0.28","-0.502","Low Resource"
"06081602200","#N/A","San Mateo","06081","Bay Area Region","0.397","0.056","0.28","-0.451","Low Resource"
"06081602300","#N/A","San Mateo","06081","Bay Area Region","0.289","0.003","0.389","-0.873","Low Resource"
"06081602400","#N/A","San Mateo","06081","Bay Area Region","0.597","0.141","0.459","-0.044","Moderate Resource"
"06081602500","#N/A","San Mateo","06081","Bay Area Region","0.564","0.471","0.77","0.326","High Resource"
"06081602600","#N/A","San Mateo","06081","Bay Area Region","0.548","0.929","0.687","0.368","High Resource"
"06081602700","#N/A","San Mateo","06081","Bay Area Region","0.63","0.846","0.544","0.256","High Resource"
"06081602800","#N/A","San Mateo","06081","Bay Area Region","0.606","0.68","0.527","0.187","Moderate Resource"
"06081602900","#N/A","San Mateo","06081","Bay Area Region","0.586","0.723","0.527","0.182","Moderate Resource"
"06081603000","#N/A","San Mateo","06081","Bay Area Region","0.476","0.903","0.685","0.315","High Resource"
"06081603100","#N/A","San Mateo","06081","Bay Area Region","0.516","0.814","0.786","0.382","High Resource"
"06081603200","#N/A","San Mateo","06081","Bay Area Region","0.453","0.885","0.786","0.366","High Resource"
"06081603300","#N/A","San Mateo","06081","Bay Area Region","0.519","0.952","0.735","0.399","High Resource"
"06081603400","#N/A","San Mateo","06081","Bay Area Region","0.52","0.947","0.735","0.395","High Resource"
"06081603700","#N/A","San Mateo","06081","Bay Area Region","0.498","0.528","0.77","0.305","High Resource"
"06081603801","#N/A","San Mateo","06081","Bay Area Region","0.525","0.836","0.564","0.202","High Resource"
"06081603802","#N/A","San Mateo","06081","Bay Area Region","0.6","0.754","0.531","0.205","High Resource"
"06081603900","#N/A","San Mateo","06081","Bay Area Region","0.711","0.647","0.315","0.035","Moderate Resource"
"06081604000","#N/A","San Mateo","06081","Bay Area Region","0.578","0.574","0.494","0.113","Moderate Resource"
"06081604101","#N/A","San Mateo","06081","Bay Area Region","0.35","0.175","0.315","-0.332","Low Resource"
"06081604102","#N/A","San Mateo","06081","Bay Area Region","0.576","0.462","0.502","0.095","Moderate Resource"
"06081604200","#N/A","San Mateo","06081","Bay Area Region","0.395","0.025","0.315","-0.506","Low Resource"
"06081604400","#N/A","San Mateo","06081","Bay Area Region","0.507","0.135","0.711","0.126","Moderate Resource"
"06081604500","#N/A","San Mateo","06081","Bay Area Region","0.667","0.514","0.605","0.269","High Resource"
"06081604600","#N/A","San Mateo","06081","Bay Area Region","0.647","0.764","0.625","0.326","High Resource"
"06081604700","#N/A","San Mateo","06081","Bay Area Region","0.786","0.856","0.814","0.591","Highest Resource"
"06081604800","#N/A","San Mateo","06081","Bay Area Region","0.687","0.506","0.711","0.368","High Resource"
"06081604900","#N/A","San Mateo","06081","Bay Area Region","0.622","0.585","0.898","0.519","Highest Resource"
"06081605000","#N/A","San Mateo","06081","Bay Area Region","0.866","0.286","0.898","0.609","Highest Resource"
"06081605100","#N/A","San Mateo","06081","Bay Area Region","0.663","0.147","0.863","0.365","High Resource"
"06081605200","#N/A","San Mateo","06081","Bay Area Region","0.86","0.502","0.907","0.667","Highest Resource"
"06081605300","#N/A","San Mateo","06081","Bay Area Region","0.794","0.347","0.871","0.538","Highest Resource"
"06081605400","#N/A","San Mateo","06081","Bay Area Region","0.925","0.155","0.716","0.435","High Resource"
"06081605500","#N/A","San Mateo","06081","Bay Area Region","0.773","0.331","0.718","0.378","High Resource"
"06081605600","#N/A","San Mateo","06081","Bay Area Region","0.822","0.558","0.928","0.671","Highest Resource"
"06081605700","#N/A","San Mateo","06081","Bay Area Region","0.838","0.771","0.918","0.716","Highest Resource"
"06081605800","#N/A","San Mateo","06081","Bay Area Region","0.949","0.396","0.713","0.55","Highest Resource"
"06081605900","#N/A","San Mateo","06081","Bay Area Region","0.489","0.325","0.796","0.269","High Resource"
"06081606000","#N/A","San Mateo","06081","Bay Area Region","0.388","0.144","0.886","0.218","High Resource"
"06081606100","#N/A","San Mateo","06081","Bay Area Region","0.202","0.149","0.662","-0.125","Moderate Resource"
"06081606200","#N/A","San Mateo","06081","Bay Area Region","0.213","0.071","0.693","-0.167","Moderate Resource"
"06081606300","#N/A","San Mateo","06081","Bay Area Region","0.533","0.15","0.693","0.138","Moderate Resource"
"06081606400","#N/A","San Mateo","06081","Bay Area Region","0.845","0.297","0.691","0.401","High Resource"
"06081606500","#N/A","San Mateo","06081","Bay Area Region","0.961","0.636","0.677","0.6","Highest Resource"
"06081606600","#N/A","San Mateo","06081","Bay Area Region","0.615","0.178","0.534","0.058","Moderate Resource"
"06081606700","#N/A","San Mateo","06081","Bay Area Region","0.879","0.617","0.699","0.512","Highest Resource"
"06081606800","#N/A","San Mateo","06081","Bay Area Region","0.902","0.935","0.816","0.722","Highest Resource"
