Application Number,Type of Tax Credit Funding,Construction Type,Developer,Housing Type,Project Address,Project Name,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Annual Federal Award,Total State Award,,,
CA-2008-092,9 %,New Construction,Self Help Enterprises,Large Family,"13549 Wood St, Madera, CA 93638 ",Parksdale Village,Madera,93638,5596744787,Madera,5,12,16,5.08,"034-140-006, -008, -014",Placed In Service,4/1/10,04/01/10,48,47,0,0,24,22,2,0,0,,,,,,,,,,,"Parksdale Village Partners, a CA LP",Doug Pingel,8445 W. Elowin Court,Visalia,CA,93290,5598021651,5596513634,"SHE-CEF 1, Inc.",,,,,AWI Management Corporation,Linda Frazier,P.O. Box 550,Auburn,CA,95604,5307456255,5307456171,"$476,918","$1,788,442",,,
CA-2008-093,9 %,New Construction,The Related Companies of CA,Large Family,"125 North Citrus Ranch Rd., Anaheim, CA 92805     ",Lincoln Anaheim Phase I,Anaheim,92805,714-491-2900,Orange,69,34,46,873,035-530-33,Placed In Service,6/30/10,06/30/10,72,71,0,0,49,23,0,0,0,,,,,,,,,,,"Lincoln Anaheim I Housing Partners, L.P.",Jonathan Webb,4029 Westerly Place Ste 101,Newport Beach,CA,92660,949-253-3120,949-253-3125,Related/Lincoln Anaheim I Development Co.; LLC,"Lincoln/Anaheim I Housing Partners MGP, LLC",,,,Related Management Company,Kim Chase,"18201 Von Karman Ave, Ste 900",Irvine,CA,92612,949-660-0390,949-660-0391,"$1,902,743",$0,,,
CA-2008-095,9 %,New Construction,The Related Companies of CA,Senior,"280 N. Lemon Ave, Ontario, CA 91764     ",Ontario Senior Apartments,Ontario,91764,909-933-9000,San Bernardino,52,20,35,14,"148-555-01, -02, -03, -10, -11, -12, -13, -14, -15",Placed In Service,9/30/10,09/30/10,76,75,0,61,15,0,0,0,0,,,,,,,,,,,"Ontario Senior Housing Partners, L.P.",Scott Stephens,"18201 Von Karman Ave, Ste 900",Irvine,CA,92612,949-660-7272,949-660-7273,"Related/Ontario Senior Development Co., LLC",,,,,Related Management Company,Kim Chase,"18201 Von Karman Ave, Ste 900",Irvine,CA,92612,949-660-0390,949-660-0391,"$1,469,882",$0,,,
CA-2008-096,9 %,New Construction,The Related Companies of CA,Senior,"16999 Orange Way, Fontana, CA 92335     ",The Plaza at Sierra fka Fontana IV Senior Apts,Fontana,92335,909-355-5643,San Bernardino,47,20,35,30,"0192-161-04, -05, -06, -07, -23, -24, -25",Placed In Service,11/30/09,11/30/09,90,89,0,72,18,0,0,0,0,,,,,,,,,,,"Fontana IV Housing Partners, L.P.",Tracy Thomas,9421 Haven Avenue,Rancho Cucamonga,CA,91730,909-483-2444,909-483-2448,"Related/Fontana IV Development Co., LLC",Southern CA Housing Development Corp. of Orange,,,,National Community Renaissance,Tracy Thomas,9421 Haven Avenue,Rancho Cucamonga,CA,91730,909-483-2444,909-483-2448,"$1,205,054","$4,518,952",,,
CA-2008-097,9 %,New Construction,Meta Housing Corporation,Large Family,"2355 Long Beach Boulevard, Long Beach, CA 90806     ",Long Beach & Burnett Apartments,Long Beach,90806,(562) 988-5661,Los Angeles,70,33,47,5731,"7208-013-002, -003, -004, -005",Placed In Service,9/29/10,09/29/10,46,36,0,0,26,20,0,0,0,,,,,,,,,,,"Long Beach & Burnett, L.P.",Leanne Truofreh,"151 Kalmus Drive, Suite J-5",Costa Mesa,CA,92626,(714) 549-4100 x 103,(714) 549-4600,"Western Community Housing, Inc.","Long Beach & Burnett, LLC",,,,Barker Management Incorporated,Lupe Agoncillo,"1101 E. Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,"$777,642",$0,,,
CA-2008-100,9 %,New Construction,"CHISPA, Inc.",Large Family,"130 13th Street, Greenfield, CA 93927     ",Vineyard Green Townhomes,Greenfield,93927,(831) 674-2736,Monterey,30,12,20,112.04,109-244-060,Placed In Service,4/14/10,04/14/10,40,39,0,2,18,18,2,0,0,,,,,,,,,,,"Vineyard Green Townhomes, L.P.",Norm Kolpin,"295 Main Street, Suite 100",Salinas,CA,93901,831-757-6251,831-757-8025,"CHISPA, Inc.",,,,,"Chispa Housing Management, Inc.",Guillermo Nieto,"295 Main Street, Suite 100",Salinas,CA,93901,831-757-6254,831-757-8025,"$670,712",$0,,,
CA-2008-108,9 %,New Construction,"Community Collective, LLC",Large Family,"251 Autumn Drive, San Marcos, CA 92069     ",Autumn Terrace,San Marcos,92069,(760) 471-5001,San Diego,75,38,50,200.28,,Placed In Service,4/20/10,04/21/10,103,100,0,30,25,48,0,0,0,,,,,,,,,,,Autumn Terrace Development Partners. L.P.,Helen Subka,"251 Autumn Drive, Suite 100",San Marcos,CA,92069,(760) 798-9809,(760) 539-9978,"Community Collective, LLC",Cascade Housing Association,,,,ConAm Management Corporation,Clyde Capua,"3990 Ruffin Road, Suite 100",San Diego,CA,92123,(858) 614-7283,(858) 634-1403,"$1,637,611",$0,,,
CA-2008-115,9 %,New Construction,"Eden Housing, Inc.",Large Family,"40 West Grant Street, Healdsburg, CA 95448     ",Foss Creek Court,Healdsburg,95448,707-433-0367,Sonoma,2,2,2,1539.02,089-130-061,Placed In Service,6/28/10,06/28/10,64,63,0,14,30,20,0,0,0,,,,,,,,,,,Healdsburg Family Limited Partnership,Linda Mandolini,22645 Grand Street,Hayward,CA,94541,510.582.1460,510.582.6523,"Healdsburg Family, LLC",,,,,"Eden Housing Management, Inc.",Iris Husic,22645 Grand Street,Hayward,CA,94541,510.582.1440,510.582.6523,"$1,497,288","$5,257,548",,,
CA-2008-144,9 %,New Construction,Beyond Shelter Housing Development,Senior,"12222 Garfield Avenue, South Gate, CA 90280     ",Hollydale Senior Apartments,South Gate,90280,562-529-5900,Los Angeles,63,33,44,5362,6243-013-002; 003; 049; 050; 051,Placed In Service,5/27/10,05/27/10,101,100,0,76,25,0,0,0,0,,,,,,,,,,,"A&S TC Investments, L.P.",Tammy Smith,"110 Pine Avenue, Suite 500",Long Beach,CA,90802,562-684-1116,562-435-1054,LINC Housing Corporation,,,,,Barker Management Incorporated,Lupe Agoncillo,"1101 E. Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,"$1,998,601",$0,,,
CA-2008-147,9 %,New Construction,Advanced Development & Investment,Large Family,"3685 San Fernando Road, Glendale, CA 91204     ",Vassar City Lights,Glendale,91204,818-242-3713,Los Angeles,43,25,28,3025.05,"5640-037-024, -034, -035",Placed in Service,12/15/10,12/15/10,72,70,0,0,30,42,0,0,0,,,,,,,,,,,"Vassar City Lights, LP",Eric Miller,18757 Bubank Blvd. Ste 102,Tarzana,CA,91356,818-774-1550,818-774-1555,"PNCRE Special, LLC",The Palms Residential Care Facility,,,,FPI Management Inc.,Karen Murphy,800 Iron Point Road,Folsom,CA,95630,916-357-5300,916357-5311,"$1,565,633",$0,,,
CA-2008-156,9 %,Rehabilitation,Cabrillo Economic Development Corporation,Large Family,"508 North Montgomery Street, Ojai, CA 93023     ",Montgomery Oaks,Ojai,93023,805-646-4169,Ventura,37,19,26,9.03,021-0-052-060,Placed In Service,5/31/10,05/31/10,21,20,0,0,9,12,0,0,0,,,,,,,,,,,"Montgomery Oaks Associates, a CA LP",Jesse Ornelas,702 County Square Drive,Ventura,CA,93003,805-659-3791 X:114,805-659-3195,Montgomery Oaks LLC,,,,,CABRILLO ECONOMIC DEVELOPMENT CORPORATION,Jesse Ornelas,702 County Square Drive,Ventura,CA,93003,805-659-3791,805-659-3195,"$440,280",$0,,,
CA-2008-176,9 %,New Construction,"Pacific West Communities, Inc.",Large Family,"3952 Patterson Road, Riverbank, CA 95367     ",Riverbank Family Apartments,Riverbank,95367,209-896-1003,Stanislaus,12,5,10,3.04,"132-047-067, -068, -069",Placed In Service,4/11/10,04/11/10,65,64,0,0,24,33,8,0,0,,,,,,,,,,,"Riverbank Pacific Associates, a CA LP",Kenneth Robertson,3803 E. Casselle Ave,Orange,CA,92869,714-628-1650,714-628-1656,Central Valley Coalition for Affordable Housing,"Roope, LLC",,,,USA Multifamily Management Inc,Victoria Critchfield,3200 Douglas Blvd. #200,Roseville,CA,95661,916-724-3855,916-773-0529,"$1,219,847","$4,574,423",,,
CA-2008-177,9 %,New Construction,"Willow Partners, LLC",Senior,"14606 W. Kearney Blvd., Kerman, CA 93630     ","Kearney Palms, Phase II",Kerman,93630,559-842-8822,Fresno,31,12,21,40.02,023-130-49,Placed In Service,7/31/09,07/31/09,20,20,0,16,4,0,0,0,0,,,,,,,,,,,"WP Kearney Palms Senior Apartments Phase II, L.P.",Laura Slajchert,"310 N. Westlake Blvd., #210",Westlake Village,CA,91362,805-379-8555,805-379-8556,"WP Kearney Court Phase II, LLC",Better Opportunity Builders,,,,Buckingham Property Management,Rosemary Lynch,2170 N. Winery Ave,Fresno,CA,93703,559-452-8250,559-452-8249,"$264,799","$992,995",,,
CA-2008-180,9 %,New Construction,"Pacific West Communities, Inc.",Large Family,"2119 W Capitol Avenue, West Sacramento, CA 95691 ",Parkside at City Center,West Sacramento,95691,916-233-0081,Yolo,7,6,6,102.03,,Placed In Service,6/24/10,06/24/10,62,61,0,0,35,27,0,0,0,,,,,,,,,,,"West Sacramento Pacific Associates, LP",Kenneth Robertson,3803 E. Casselle Ave,Orange,CA,92869,7146281650,7146281657,Riverside Charitable Corporation,"Roope, LLC",,,,USA Multifamily Management Inc,Victoria Critchfield,3200 Doulgas Blvd. #200,Roseville,CA,95661,9167243855,9167730529,"$1,493,334","$5,415,308",,,
CA-2008-181,9 %,New Construction,MidPen Housing,Large Family,"2901 S. El Camino Real, San Mateo, CA 94403     ",Peninsula Station,San Mateo,94403,650-212-0935,San Mateo,22,13,14,6075,039-351-170; 180,Placed In Service,9/13/10,09/13/10,68,67,0,8,32,28,0,0,0,,,,,,,,,,,"MP San Mateo Transit Associates, L.P., a CA LP",Matthew Franklin,"303 Vintage Park Drive, Suite 250",Foster City,CA,94404,650-356-2900,650-357-9766,"MP Mezes, Inc.",,,,,MidPen Housing Corporation,Debra W. Sobeck,"303 Vintage Park Drive, Suite 250",Foster City,CA,94404,650-356-2900,650-357-9766,"$1,674,175","$6,278,154",,,
CA-2008-183,9 %,New Construction,Corporation for Better Housing,Large Family,"7000 Di Giorgio Road, Lamont, CA 93241     ",Di Giorgio Family Apartments FWHAP CA-2008-002,Lamont,93241,661-325-0919,Kern,32,14,21,64.03,186-200-01,Placed In Service,8/25/09,08/25/09,80,79,0,16,32,32,0,0,0,,,,,,,,,,,"7250 Di Giorgio Rd., L.P.",Lori Koester,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-2440,Corporation for Better Housing,,,,,"CBH Property Management, LLC.",Joanna Ascencio,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-3844,"$766,930","$1,199,367",,,
CA-2008-189,9 %,New Construction,AMCAL Enterprises,Large Family,"458 S. Hartford Avenue, Los Angeles, CA 90017     ",Andalucia Heights,Los Angeles,90017,213-482-4398,Los Angeles,53,24,34,2091.03,"5153-023-006, -008, -010, -011, -012, -013",Placed In Service,10/22/10,10/22/10,75,74,0,4,48,20,3,0,0,,,,,,,,,,,"AMCAL Andalucia Fund, L.P.",Arjun Nagarkatti,"30141 Agoura Road, Suite 100",Agoura Hills,CA,91301,818-706-0694,818-706-3050,"AMCAL 1 GP, LLC",W.O.R.K.S.,,,,FPI Management Inc.,Bonnie Darrah,800 Iron Point Road,Folsom,CA,95630,916-357-5312 x465,916-850-4465,"$1,333,951",$0,,,
CA-2008-800,4 %,New Construction,"St. Anton Capital, LLC",Non-Targeted,"9950 Bruceville Road, Elk Grove, CA 95757     ",Montego Falls Apartments,Elk Grove,95757,916-683-3200,Sacramento,9,6,7,96.32,132-0720-033,Placed In Service,6/9/09,08/24/09,132,131,0,36,60,36,0,0,0,,,,,,,,,,,Montegro Elk Grove L.P.,Steven L. Eggert,"1801 I Street, Suite 200",Sacramento,CA,95811,9164449897,9164449843,Pacific Housing,"Anton Monttego, LLC",,,,"St. Anton Management, Inc",Andrew Worley,"1801 I Street, Suite 200",Sacramento,CA,95811,9164713003,9164447637,"$952,663",$0,,,
CA-2008-801,4 %,New Construction,Affirmed Housing Group,Large Family,"1050 B Street, San Diego, CA 92101     ","Ten Fifty B, Phase II",San Diego,92101,619-209-7000,San Diego,78,39,52,52,534-064-09,Placed In Service,5/17/10,05/17/10,111,109,35,50,5,21,0,0,0,,,,,,,,,,,"Ten Fifty B Street, L.P.",Darrin Willard,"384 Forest Ave., Ste. 14",Laguna Beach,CA,92651,949-443-9101,949-443-9133,"Affirmed Housing Group, Inc.",,,,,"Solari Entrerprises, Inc.",Gianna Solari,1572 N. Main Street,Orange,CA,92867,714-282-2520,714-282-2521,"$1,791,307",$0,,,
CA-2008-802,4 %,Rehabilitation,WSHDC,Large Family,"220 5th St., West Sacramento, CA 95605     ",Patios de Castillo Apts. & River Rose Apts. (Site A),West Sacramento,95605,916-375-1828,Yolo,7,6,6,101.01,"010-494-03, -04, -09, 01-436-02, -03, 010-495-05",Placed In Service,10/15/09,10/15/09,45,44,25,19,1,0,0,0,0,,,,,,,,,,,"Patios/River Rose Associates, a CA LP",Paul Kolarik,2455 West Capitol Avenue #106,West Sacramento,CA,95691,916-715-4853,,"Patios/River Rose Associates, LLC",,,,,The John Stewart Company,Marina Skelton,"1455 Response Road, Suite 140",Sacramento,CA,95815,916-561-0323,916-561-0326,"$161,932",$0,,,
CA-2008-802,4 %,Rehabilitation,,Large Family,"200 4th St., West Sacramento, CA 95605     ",Patios de Castillo Apts. & River Rose Apts. (Site B),West Sacramento,95605,916-375-1828,Yolo,7,6,6,101.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2008-802,4 %,Rehabilitation,,Large Family,"511 B St., West Sacramento, CA 95605     ",Patios de Castillo Apts. & River Rose Apts. (Site C),West Sacramento,95605,916-375-1828,Yolo,7,6,6,101.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2008-803,4 %,Acquisition/Rehab,"USA Multifamily Development, Inc.",Senior,"35 West Clover Street, Woodland, CA 95695     ",Fair Plaza Senior Apartments,Woodland,95695,530-666-3429,Yolo,4,3,3,109.02,064-242-06-1,Placed In Service,4/10/08,04/10/08,68,67,0,68,0,0,0,0,0,,,,,,,,,,,"Fair Plaza Senior Apartments, L.P.",Kenneth Robertson,3803 E. Casselle Ave,Orange,CA,92869,7146281650,7146281657,Riverside Charitable Corporation,Riverside Charitable Corporation,,,,USA Multifamily Management Inc,Victoria Critchfield,3200 Doulgas Blvd. #200,Roseville,CA,95661,9167243855,9167730529,"$211,588",$0,,,
CA-2008-804,4 %,New Construction,Affirmed Housing Group,Large Family,"1050 B Street, San Diego, CA 92101     ","Ten Fifty B Apartments, Phase I",San Diego,92101,619-209-7000,San Diego,78,39,52,52,534-064-09,Placed In Service,5/17/10,05/17/10,118,117,33,7,25,53,0,0,0,,,,,,,,,,,"Ten Fifty B Street Housing Partners, L.P.",Darrin Willard,"384 Forest Ave., Ste. 14",Laguna Beach,CA,92651,949-443-9101,949-443-9133,Affirmed Housing Group,,,,,"Solari Entrerprises, Inc.",Gianna Solari,1572 N. Main Street,Orange,CA,92867,714-282-2520,714-282-2521,"$1,877,412",$0,,,
CA-2008-805,4 %,Acquisition/Rehab,"WNC-CPP, LLC",At-Risk,"91770 66th Mecca Avenue, Mecca, CA 92254",Thunderbird/San Jacinto Vista Apartments (Site A),Mecca,92254,760-396-2656,Riverside,56,28,36,456.04,727-220-002-4/311-180-039-6,Placed In Service,9/29/08,09/29/08,102,100,0,18,44,36,4,0,0,,,,,,,,,,,"Mecca Avenue 66 Community Partners, LP",David Rutledge,635 Parkview Avenue,Redding,CA,96099-0490,530-221-6960,815-397-3931,"Mecca Avenue 66 GP, LLC",,,,,"Professional Property Management, LLC",Gerald Walters Jr,973 Featherstone Road - Suite 300,Rockford,IL,61107,815-397-3755,815-397-3931,"$275,621",$0,,,
CA-2008-805,4 %,Acquisition/Rehab,,At-Risk,"98 East Jarvis Street, Perris, CA 92571",Thunderbird/San Jacinto Vista Apartments (Site B),Perris,92571,951-943-7464 ,Riverside,61,31,41,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2008-807,4 %,Acquisition/Rehab,"Villa Springs Apartments, L.P.",Non-Targeted,"22328 South Garden Avenue, Hayward, CA 94541     ",Villa Springs,Hayward,94541,510-783-8910,Alameda,20,10,15,4369,432-0036-012-02 & 432-0036-014-03,Placed In Service,7/1/08,07/01/08,66,65,0,1,62,3,0,0,0,,,,,,,,,,,"Villa Springs Apartments, L.P.",Linda Mandolini,22645 Grand St,Hayward,CA,94541,510-247-1460,(510) 582-6523,"Villa Springs, LLC, whose sole member is Eden Housing, Inc.",,,,,"Eden Housing Management, Inc",David Kim,22645 Grand St,Hayward,CA,94541,510-247-8129,510-582-6523,"$361,048",$0,,,
CA-2008-808,4 %,New Construction,"St. Anton Capital, LLC",Large Family,"3685 Elkhorn Blvd., North Highlands, CA 95660     ",Norden Terrace Apartments,North Highlands,95660,916-334-1622,Sacramento,7,4,6,74.06,a portion of 200-0220-006,Placed In Service,12/17/09,03/09/10,204,202,0,48,104,52,0,0,0,,,,,,,,,,,Norden Sacramento L.P.,Steven L. Eggert,"1801 I Street, Suite 200",Sacramento,CA,95811,916-444-9897,916-444-9843,Pacific Housing,"Anton Norden, LLC",,,,"St. Anton Management, Inc",Andrew Worley,"1801 I Street, Suite 200",Sacramento,CA,95811,916-471-3003,916-444-7637,"$1,196,605",$0,,,
CA-2008-809,4 %,New Construction,"St. Anton Capital, LLC",Senior,"6920 Watt Avenue, North Highlands, CA 95660     ",Corsair Park Senior Apartments,North Highlands,95660,916-331-1500,Sacramento,7,4,6,74.06,a portion of 200-0220-006,Placed In Service,1/11/10,04/12/10,112,111,0,88,24,0,0,0,0,,,,,,,,,,,Corsair Sacramento L.P.,Steven L. Eggert,"1801 I Street, Suite 200",Sacramento,CA,95811,916-444-9897,916-444-9843,Pacific Housing,"Anton Corsair, LLC",,,,"St. Anton Management, Inc",Andrew Worley,"1801 I Street, Suite 200",Sacramento,CA,95811,916-471-3003,916-444-7637,"$604,477",$0,,,
CA-2008-810,4 %,Acquisition/Rehab,"LIH Oakland Apartments, LLC",Non-Targeted,"9914 99th Avenue Court, Oakland, CA 94603     ",Garden Villas fka Garden Manor,Oakland,94603,(510)636-1193,Alameda,18,9,13,4093,044-4972-039-01,Placed In Service,7/10/09,11/24/09,72,71,0,12,60,0,0,0,0,,,,,,,,,,,"LIH Oakland Apartments, LP",Shaoul Levy,"201 Wilshire Boulevard, Suite A-28",Santa Monica,CA,90401,(310)883-7900,(310)883-7910,"LIH Oakland Apartments, LLC","Casa Major, Inc.",,,,Platinum Realty Management Inc.,Sasa Potestas,"201 Wilshire Boulevard, 2nd Floor",Santa Monica,CA,90401,(310)883-7995,(310)883-7946,"$349,473",$0,,,
CA-2008-812,4 %,New Construction,Tenderloin Neighborhood Dev. Corp.,SRO,"149 Mason Street, San Francisco, CA 94102     ",Mason Street Housing,San Francisco,94102,415-400-2658,San Francisco,17,11,12,125.01,Block 0331 Lot 17,Placed In Service,12/7/09,12/07/09,56,55,56,0,0,0,0,0,0,,,,,,,,,,,"Mason Street Housing Associates, L.P.",Mel Carriere,333 Taylor Street (lower level),San Francisco,CA,94102,4159247707,4159246542,"Mason Street Housing, LLC",,,,,"Evans Property Management, Inc.",Lisa Parmley,"2033 North Main Street, Ste. 340",Walnut Creek,CA,94596,4154829426,9254829273,"$1,134,226",$0,,,
CA-2008-813,4 %,New Construction,CAH & BHDC,,"40 Brannan St., Calistoga, CA 94515     ",Palisades Apartments,Calistoga,94515,7079424610,Napa,4,3,5,2020,011-050-046,Placed In Service,3/13/09,03/13/09,24,23,0,14,10,0,0,0,0,,,,,,,,,,,"Palisades Investors, L.P.",Charles Cornell,790 Sonoma Avenue,Santa Rosa,CA,95404,7075269782,7075269811,"Palisades Calistoga Investors, LLC",Burbank Housing Development Corporation,,,,Burbank Housing Management Corporation,Alicia Gomez,790 Sonoma Avenue,Santa Rosa,CA,95404,7073031022,7075262562,"$334,134",$0,,,
CA-2008-814,4 %,Acquisition/Rehab,Wakeland Housing and Development,Large Family,"201 Country Club Lane, Oceanside, CA 92054     ",Country Club Apartments,Oceanside,92054,619-662-0857,San Diego,76,36,49,185.09,148-291-03,Placed In Service,7/1/09,07/01/09,90,89,11,57,22,0,0,0,0,,,,,,,,,,,"Country Club Apartments, L.P.",Kenneth L Sauder,1230 Columbia Street Ste 950,San Diego,CA,92107,619-235-2296,619-235-5386,"Wakeland Country Club Apartments, LLC",Wakeland Housing and Development,,,,ConAm Management,Clyde Capua,3990 Ruffin Rd Suite 100,San Diego,CA,92123,858-614-7283,858-614-7483,"$757,494",$0,,,
CA-2008-816,4 %,New Construction,"CNM Construction Company, Inc.",Non-Targeted,"1801 L Street, Sacramento, CA 95814     ",18th & L Street Apartments ,Sacramento,95814,916-447-1801,Sacramento,7,6,6,11.01,"007-0082-012, 013 & 014",Placed In Service,9/18/06,09/18/06,164,36,38,85,39,2,0,0,0,,,,,,,,,,,"1801 L. Street Associates, L.P.",Mat Eland,2115 J Street Suite 201,Sacramento,CA,95816,916-638-5200,916-325-8624,"Pacific Housing, Inc.","CNM Construction Company, Inc.",,,,"FPI Management, Inc",Karen Murphy,800 Iron Point Road,Folsom,CA,95630,916-357-5312 x290,916-358-7290,"$315,192",$0,,,
CA-2008-817,4 %,Acquisition/Rehab,"Charter Court SJC COGP, LLC",Non Targeted,"1200 Ranchero Way, San Jose, CA 95117     ",Charter Court Apartments,San Jose,95117,408-241-1146,Santa Clara,28,15,18,5063.05,299-16-052,Placed In Service,9/30/08,09/30/08,94,93,0,50,44,0,0,0,0,,,,,,,,,,,Charter Court SJC LP,Heidi Bass,230 Newport Center Drive #210,Newport Beach,CA,92660,949-719-1888 x201,949-719-1897,"Charter Court SJC COGP, LLC","Charter Court SJC MGP, LLC",,,,VPM Management Inc.,Scott Barker,2400 Main Street Suite 201,Irvine,CA,92614,949-863-1500 x210,949-863-1801,"$737,323",$0,,,
CA-2008-818,4 %,New Construction,West Hollywood Community Housing Corp.,Special Needs,"1060 Sierra Bonita Ave., West Hollywood, CA 90046     ",Sierra Bonita Apartments,West Hollywood,90046,(323) 850-8066,Los Angeles,50,26,28,7001.01,5530-019-900,Placed In Service,2/25/10,02/25/10,42,41,0,42,0,0,0,0,0,,,,,,,,,,,"7530 Santa Monica, L.P.",Shanon Lampkins,"7530 Santa Monica Blvd., Suite 1",West Hollywood,CA,90046,(323) 650-8771,(323) 650-4745,West Hollywood Communities Housing Corporation,West Hollywood Community Housing Corp.,,,,The John Stewart Company,Nataliia Klimova,"888 S. Figueroa Street, Suite 700",Los Angeles,CA,90017,(213) 787-2741,(213) 833-1866,"$678,496",$0,,,
CA-2008-819,4 %,New Construction,American Baptist Homes of the West,Senior,"1447 Herbert Ave., South Lake Tahoe, CA 96150     ",Kelly Ridge,South Lake Tahoe,96150,530-542-1680,El Dorado,5,1,4,302,025-510-02-100,Placed In Service,6/15/09,06/15/09,33,32,0,30,3,0,0,0,0,,,,,,,,,,,"Tahoe Senior Housing II, L.P., a CA LP",Ancel Romero,"6120 Stoneridge Mall Rd., 3rd Floor",Pleasanton,CA,94588,925-924-7194,925-924-7231,"Carmel Senior Housing, Inc.",,,,,American Baptist Homes of the West,Grace Crisostomo,"6120 Stoneridge Mall Rd., 3rd Floor",Pleasanton,CA,94588,925-924-7102,925-924-7231,"$345,724",$0,,,
CA-2008-820,4 %,New Construction,Burbank Housing Development,Non-Targeted,"2051 W. Steele Lane, Santa Rosa, CA 95403     ",Rowan Court,Santa Rosa,95403,7075428194,Sonoma,2,2,5,1528.02,041-021-052 and -053,Placed In Service,8/27/09,08/27/09,62,61,0,15,27,20,0,0,0,,,,,,,,,,,"Rowan Court Partners, L.P.",Charles Cornell,790 Sonoma Avenue,Santa Rosa,CA,95404,7075269782,7075269811,Rowan Court LLC,,,,,Burbank Housing Management Corporation,Alicia Gomez,790 Sonoma Avenue,Santa Rosa,CA,95404,7073031022,7075262562,"$928,722",$0,,,
CA-2008-821,4 %,Acquisition/Rehab,Community Housing Works,Large Family,"920 East Mission Ave., Fallbrook, CA 92028     ",Turnagain fka Turnagain Arms Apartments,Fallbrook,92028,7607289864,San Diego,75,38,50,189.03,105-540-58-00,Placed In Service,1/1/09,01/01/09,80,79,0,28,41,10,1,0,0,,,,,,,,,,,"Turnagain Renaissance Housing Associates, LP",Rosemary Stabrawa,"2815 Camino Del Rio S, Suite 350",San Deigo,CA,92108,619-282-6647,619-640-7119,Fallbrook Renaissance LLC,,,,,ConAm Management,Clyde Capua,"3990 Ruffin Road, Suite 100",San Deigo,CA,92123,858-614-7283,858-614-7283,"$467,020",$0,,,
CA-2008-824,4 %,Acquisition/Rehab,LINC Housing,Large Family,"1825 South Santa Fe Ave., San Jacinto, CA 92583     ",Terracina Apartments,San Jacinto,92583,951-658-1777,Riverside,42,23,36,435.07,439-120-026,Placed In Service,1/6/09,01/06/09,55,54,0,0,32,23,0,0,0,,,,,,,,,,,"LINC-Terracina Apartments Housing Investors, L.P.",Tammy Smith,"110 Pine Avenue, Suite 500",Long Beach,CA,90802,562-684-1116,562-435-2987,LINC Housing Corporation,,,,,US Residential Group,Jeannie Bryan,"15771 Rockfield Blvd, Suite 200",Irvine,CA,92618,949-597-9700,949-597-9800,"$208,453",$0,,,
CA-2008-825,4 %,New Construction,Advanced Development and Investment,,"435 Alturas Rd., Fallbrook, CA 92028     ",Springbrook Grove,Fallbrook,92028,760-731-2889,San Diego,75,38,50,189.04,104-010-39,Placed in Service,3/16/10,05/12/10,44,43,0,0,26,18,0,0,0,,,,,,,,,,,"Springbrook Grove, a CA LP",John Doyle,121 S.W. Morrison Street,Portland,OR,97204-3143,502-581-2603,502-581-3919,"PNCRE Special, LLC",,,,,"FPI Management, Inc.",Karen Murphy,800 Iron Point Road,Folsom,CA,95630,(916) 357-5312 Ext.290,(916) 358-7290,"$776,147",$0,,,
CA-2008-826,4 %,Rehabilitation,BRIDGE Housing Corp.,Large Family,"4545 Kentfield Rd., Stockton, CA 95207     ",Kentfield Apartments,Stockton,95207,209-952-7971,San Joaquin,13,5,9,33.12,104-250-05,Placed In Service,4/1/09,09/01/09,90,89,4,21,52,13,0,0,0,,,,,,,,,,,"Kentfield Associates, a California Limited Partner",Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,"BRIDGE Tower, LLC",,,,,The John Stewart Company,Tracy Balderas,"1455 Response Rd., Suite 140",Sacramento,CA,95815,916-561-0323,916-561-0326,"$363,147",$0,,,
